mmu04062	Chemokine signaling pathway
mmu04610	Complement and coagulation cascades
mmu04611	Platelet activation
mmu04612	Antigen processing and presentation
mmu04613	Neutrophil extracellular trap formation
mmu04620	Toll-like receptor signaling pathway
mmu04621	NOD-like receptor signaling pathway
mmu04622	RIG-I-like receptor signaling pathway
mmu04623	Cytosolic DNA-sensing pathway
mmu04625	C-type lectin receptor signaling pathway
mmu04640	Hematopoietic cell lineage
mmu04650	Natural killer cell mediated cytotoxicity
mmu04657	IL-17 signaling pathway
mmu04658	Th1 and Th2 cell differentiation
mmu04659	Th17 cell differentiation
mmu04660	T cell receptor signaling pathway
mmu04662	B cell receptor signaling pathway
mmu04664	Fc epsilon RI signaling pathway
mmu04666	Fc gamma R-mediated phagocytosis
mmu04670	Leukocyte transendothelial migration
mmu04672	Intestinal immune network for IgA production
