mmu02010	ABC transporters
mmu04010	MAPK signaling pathway
mmu04012	ErbB signaling pathway
mmu04014	Ras signaling pathway
mmu04015	Rap1 signaling pathway
mmu04020	Calcium signaling pathway
mmu04022	cGMP-PKG signaling pathway
mmu04024	cAMP signaling pathway
mmu04060	Cytokine-cytokine receptor interaction
mmu04061	Viral protein interaction with cytokine and cytokine receptor
mmu04064	NF-kappa B signaling pathway
mmu04066	HIF-1 signaling pathway
mmu04068	FoxO signaling pathway
mmu04070	Phosphatidylinositol signaling system
mmu04071	Sphingolipid signaling pathway
mmu04072	Phospholipase D signaling pathway
mmu04080	Neuroactive ligand-receptor interaction
mmu04150	mTOR signaling pathway
mmu04151	PI3K-Akt signaling pathway
mmu04152	AMPK signaling pathway
mmu04310	Wnt signaling pathway
mmu04330	Notch signaling pathway
mmu04340	Hedgehog signaling pathway
mmu04350	TGF-beta signaling pathway
mmu04370	VEGF signaling pathway
mmu04371	Apelin signaling pathway
mmu04390	Hippo signaling pathway
mmu04392	Hippo signaling pathway - multiple species
mmu04512	ECM-receptor interaction
mmu04514	Cell adhesion molecules
mmu04630	JAK-STAT signaling pathway
mmu04668	TNF signaling pathway
